Campaign_id,start_date,end_date,Impression,duration_days,CW0,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15,CW16,CW17,CW18,CW19,CW20,CW21,CW22,CW23,CW24,CW25,CW26,CW27,CW28,CW29,CW30,CW31,CW32,CW33,CW34,CW35,CW36,CW37,CW38,CW39,CW40,CW41,CW42,CW43,CW44,CW45,CW46,CW47,CW48,CW49,CW50,CW51,CW52,total_weeks
52229279,2017-12-16 00:00:00,2017-12-21 00:00:00,24565591,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8188530,16377061,0,2
52229456,2017-02-13 00:00:00,2017-02-28 00:00:00,4046333,16,0,0,0,0,0,0,0,1770271,1770271,505791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52231126,2017-09-03 00:00:00,2017-09-09 00:00:00,990274,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141468,848806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52231291,2017-03-03 00:00:00,2017-03-03 00:00:00,4534436,1,0,0,0,0,0,0,0,0,0,4534436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52232350,2017-09-21 00:00:00,2017-09-28 00:00:00,39713159,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19856579,19856580,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52232420,2017-08-07 00:00:00,2017-08-12 00:00:00,1361845,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52233040,2017-06-26 00:00:00,2017-07-06 00:00:00,1189294,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756823,432471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52234213,2017-05-25 00:00:00,2017-05-25 00:00:00,16030998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16030998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52234219,2017-04-14 00:00:00,2017-04-30 00:00:00,6851759,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209134,2821312,2821313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52234754,2017-12-15 00:00:00,2017-12-28 00:00:00,456385,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97797,228192,130396,3
52235006,2017-02-12 00:00:00,2017-02-23 00:00:00,2997571,12,0,0,0,0,0,0,249798,1748583,999190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52235015,2017-04-20 16:51:19,2017-04-20 16:51:19,7911502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
